invoice_number,stock_code,description,quantity,invoice_datetime,invoice_date,invoice_time,unit_price,customer_id,country
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,2010-12-01,09:37:00,0.42,14688.0,United Kingdom
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536380,22961,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,2010-12-01,09:41:00,1.45,17809.0,United Kingdom
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,2010-12-01 09:41:00,2010-12-01,09:41:00,4.25,15311.0,United Kingdom
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,2010-12-01,09:41:00,1.95,15311.0,United Kingdom
536381,21166,COOK WITH WINE METAL SIGN ,1,2010-12-01 09:41:00,2010-12-01,09:41:00,1.95,15311.0,United Kingdom
536381,21175,GIN + TONIC DIET METAL SIGN,2,2010-12-01 09:41:00,2010-12-01,09:41:00,2.1,15311.0,United Kingdom
536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2010-12-01 09:41:00,2010-12-01,09:41:00,2.95,15311.0,United Kingdom
536381,22083,PAPER CHAIN KIT RETROSPOT,1,2010-12-01 09:41:00,2010-12-01,09:41:00,2.95,15311.0,United Kingdom
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,2010-12-01,09:41:00,1.65,15311.0,United Kingdom
536382,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:45:00,2010-12-01,09:45:00,1.95,16098.0,United Kingdom
536382,22379,RECYCLING BAG RETROSPOT ,10,2010-12-01 09:45:00,2010-12-01,09:45:00,2.1,16098.0,United Kingdom
536382,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 09:45:00,2010-12-01,09:45:00,3.75,16098.0,United Kingdom
536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-01 09:53:00,2010-12-01,09:53:00,6.45,18074.0,United Kingdom
536384,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,2010-12-01 09:53:00,2010-12-01,09:53:00,0.65,18074.0,United Kingdom
536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,2010-12-01 09:53:00,2010-12-01,09:53:00,2.95,18074.0,United Kingdom
536384,22469,HEART OF WICKER SMALL,40,2010-12-01 09:53:00,2010-12-01,09:53:00,1.45,18074.0,United Kingdom
536384,22470,HEART OF WICKER LARGE,40,2010-12-01 09:53:00,2010-12-01,09:53:00,2.55,18074.0,United Kingdom
536384,22189,CREAM HEART CARD HOLDER,4,2010-12-01 09:53:00,2010-12-01,09:53:00,3.95,18074.0,United Kingdom
536384,22427,ENAMEL FLOWER JUG CREAM,3,2010-12-01 09:53:00,2010-12-01,09:53:00,5.95,18074.0,United Kingdom
536385,22961,JAM MAKING SET PRINTED,12,2010-12-01 09:56:00,2010-12-01,09:56:00,1.45,17420.0,United Kingdom
536385,22960,JAM MAKING SET WITH JARS,6,2010-12-01 09:56:00,2010-12-01,09:56:00,4.25,17420.0,United Kingdom
536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,2010-12-01,09:56:00,1.65,17420.0,United Kingdom
536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-12-01 09:57:00,2010-12-01,09:57:00,1.65,16029.0,United Kingdom
536386,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,2010-12-01,09:57:00,1.65,16029.0,United Kingdom
536387,79321,CHILLI LIGHTS,192,2010-12-01 09:58:00,2010-12-01,09:58:00,3.82,16029.0,United Kingdom
536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,2010-12-01,09:58:00,1.25,16029.0,United Kingdom
536388,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 09:59:00,2010-12-01,09:59:00,5.95,16250.0,United Kingdom
536388,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 09:59:00,2010-12-01,09:59:00,5.95,16250.0,United Kingdom
536388,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 09:59:00,2010-12-01,09:59:00,1.45,16250.0,United Kingdom
536388,22469,HEART OF WICKER SMALL,12,2010-12-01 09:59:00,2010-12-01,09:59:00,1.65,16250.0,United Kingdom
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-01 10:03:00,2010-12-01,10:03:00,1.25,12431.0,Australia
536389,22193,RED DINER WALL CLOCK,2,2010-12-01 10:03:00,2010-12-01,10:03:00,8.5,12431.0,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 10:03:00,2010-12-01,10:03:00,3.75,12431.0,Australia
536389,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-01 10:03:00,2010-12-01,10:03:00,3.75,12431.0,Australia
536390,22960,JAM MAKING SET WITH JARS,12,2010-12-01 10:19:00,2010-12-01,10:19:00,3.75,17511.0,United Kingdom
536390,22961,JAM MAKING SET PRINTED,12,2010-12-01 10:19:00,2010-12-01,10:19:00,1.45,17511.0,United Kingdom
536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,2010-12-01 10:19:00,2010-12-01,10:19:00,0.64,17511.0,United Kingdom
536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-01 10:19:00,2010-12-01,10:19:00,2.55,17511.0,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,2010-12-01,10:19:00,2.55,17511.0,United Kingdom
536390,22197,SMALL POPCORN HOLDER,100,2010-12-01 10:19:00,2010-12-01,10:19:00,0.72,17511.0,United Kingdom
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2010-12-01 10:19:00,2010-12-01,10:19:00,0.64,17511.0,United Kingdom
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2010-12-01 10:19:00,2010-12-01,10:19:00,4.25,17511.0,United Kingdom
536390,22969,HOMEMADE JAM SCENTED CANDLES,96,2010-12-01 10:19:00,2010-12-01,10:19:00,1.25,17511.0,United Kingdom
536390,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 10:19:00,2010-12-01,10:19:00,1.65,17511.0,United Kingdom
536392,22150,3 STRIPEY MICE FELTCRAFT,6,2010-12-01 10:29:00,2010-12-01,10:29:00,1.95,13705.0,United Kingdom
536392,21889,WOODEN BOX OF DOMINOES,12,2010-12-01 10:29:00,2010-12-01,10:29:00,1.25,13705.0,United Kingdom
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 10:29:00,2010-12-01,10:29:00,1.69,13705.0,United Kingdom
536394,22633,HAND WARMER UNION JACK,96,2010-12-01 10:39:00,2010-12-01,10:39:00,1.85,13408.0,United Kingdom
536394,22866,HAND WARMER SCOTTY DOG DESIGN,96,2010-12-01 10:39:00,2010-12-01,10:39:00,1.85,13408.0,United Kingdom
536394,22865,HAND WARMER OWL DESIGN,96,2010-12-01 10:39:00,2010-12-01,10:39:00,1.85,13408.0,United Kingdom
536394,21485,RETROSPOT HEART HOT WATER BOTTLE,12,2010-12-01 10:39:00,2010-12-01,10:39:00,4.95,13408.0,United Kingdom
536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2010-12-01 10:39:00,2010-12-01,10:39:00,1.25,13408.0,United Kingdom
536394,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2010-12-01 10:39:00,2010-12-01,10:39:00,2.1,13408.0,United Kingdom
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-01 10:39:00,2010-12-01,10:39:00,2.55,13408.0,United Kingdom
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 10:47:00,2010-12-01,10:47:00,1.69,13767.0,United Kingdom
536395,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 10:47:00,2010-12-01,10:47:00,0.55,13767.0,United Kingdom
536395,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 10:47:00,2010-12-01,10:47:00,0.55,13767.0,United Kingdom
536395,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 10:47:00,2010-12-01,10:47:00,0.55,13767.0,United Kingdom
536395,22730,ALARM CLOCK BAKELIKE IVORY,4,2010-12-01 10:47:00,2010-12-01,10:47:00,3.75,13767.0,United Kingdom
536395,22727,ALARM CLOCK BAKELIKE RED ,8,2010-12-01 10:47:00,2010-12-01,10:47:00,3.75,13767.0,United Kingdom
536395,22726,ALARM CLOCK BAKELIKE GREEN,8,2010-12-01 10:47:00,2010-12-01,10:47:00,3.75,13767.0,United Kingdom
536395,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 10:47:00,2010-12-01,10:47:00,3.95,13767.0,United Kingdom
536395,22867,HAND WARMER BIRD DESIGN,48,2010-12-01 10:47:00,2010-12-01,10:47:00,2.1,13767.0,United Kingdom
536395,22866,HAND WARMER SCOTTY DOG DESIGN,48,2010-12-01 10:47:00,2010-12-01,10:47:00,2.1,13767.0,United Kingdom
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 10:51:00,2010-12-01,10:51:00,2.55,17850.0,United Kingdom
536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 10:51:00,2010-12-01,10:51:00,4.95,17850.0,United Kingdom
536396,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 10:51:00,2010-12-01,10:51:00,6.95,17850.0,United Kingdom
536396,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 10:51:00,2010-12-01,10:51:00,2.1,17850.0,United Kingdom
536396,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2010-12-01 10:51:00,2010-12-01,10:51:00,2.55,17850.0,United Kingdom
536398,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 10:52:00,2010-12-01,10:52:00,2.1,13448.0,United Kingdom
536398,22865,HAND WARMER OWL DESIGN,12,2010-12-01 10:52:00,2010-12-01,10:52:00,2.1,13448.0,United Kingdom
536398,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-12-01 10:52:00,2010-12-01,10:52:00,1.25,13448.0,United Kingdom
536398,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 10:52:00,2010-12-01,10:52:00,3.95,13448.0,United Kingdom
536398,22835,HOT WATER BOTTLE I AM SO POORLY,8,2010-12-01 10:52:00,2010-12-01,10:52:00,4.65,13448.0,United Kingdom
536398,22112,CHOCOLATE HOT WATER BOTTLE,9,2010-12-01 10:52:00,2010-12-01,10:52:00,4.95,13448.0,United Kingdom
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2010-12-01 10:52:00,2010-12-01,10:52:00,4.95,13448.0,United Kingdom
536399,22633,HAND WARMER UNION JACK,6,2010-12-01 10:52:00,2010-12-01,10:52:00,1.85,17850.0,United Kingdom
536400,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 10:53:00,2010-12-01,10:53:00,1.45,13448.0,United Kingdom
536401,22766,PHOTO FRAME CORNICE,1,2010-12-01 11:21:00,2010-12-01,11:21:00,2.95,15862.0,United Kingdom
536401,22961,JAM MAKING SET PRINTED,4,2010-12-01 11:21:00,2010-12-01,11:21:00,1.45,15862.0,United Kingdom
536401,84991,60 TEATIME FAIRY CAKE CASES,3,2010-12-01 11:21:00,2010-12-01,11:21:00,0.55,15862.0,United Kingdom
536401,22662,LUNCH BAG DOLLY GIRL DESIGN,1,2010-12-01 11:21:00,2010-12-01,11:21:00,1.65,15862.0,United Kingdom
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 11:21:00,2010-12-01,11:21:00,2.95,15862.0,United Kingdom
536401,22804,CANDLEHOLDER PINK HANGING HEART,3,2010-12-01 11:21:00,2010-12-01,11:21:00,2.95,15862.0,United Kingdom
536401,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1,2010-12-01 11:21:00,2010-12-01,11:21:00,5.95,15862.0,United Kingdom
536401,20725,LUNCH BAG RED RETROSPOT,1,2010-12-01 11:21:00,2010-12-01,11:21:00,1.65,15862.0,United Kingdom
536401,22382,LUNCH BAG SPACEBOY DESIGN ,2,2010-12-01 11:21:00,2010-12-01,11:21:00,1.65,15862.0,United Kingdom
536401,20726,LUNCH BAG WOODLAND,1,2010-12-01 11:21:00,2010-12-01,11:21:00,1.65,15862.0,United Kingdom
536401,22384,LUNCH BAG PINK POLKADOT,1,2010-12-01 11:21:00,2010-12-01,11:21:00,1.65,15862.0,United Kingdom
536401,22467,GUMBALL COAT RACK,5,2010-12-01 11:21:00,2010-12-01,11:21:00,2.55,15862.0,United Kingdom
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2010-12-01 11:22:00,2010-12-01,11:22:00,2.55,15513.0,United Kingdom
536402,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-01 11:22:00,2010-12-01,11:22:00,2.55,15513.0,United Kingdom
536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,2010-12-01,11:27:00,1.85,12791.0,Netherlands
536404,22469,HEART OF WICKER SMALL,12,2010-12-01 11:29:00,2010-12-01,11:29:00,1.65,16218.0,United Kingdom
536404,22197,SMALL POPCORN HOLDER,36,2010-12-01 11:29:00,2010-12-01,11:29:00,0.85,16218.0,United Kingdom
536404,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2010-12-01 11:29:00,2010-12-01,11:29:00,1.25,16218.0,United Kingdom
536404,84378,SET OF 3 HEART COOKIE CUTTERS,12,2010-12-01 11:29:00,2010-12-01,11:29:00,1.25,16218.0,United Kingdom
536404,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 11:29:00,2010-12-01,11:29:00,0.55,16218.0,United Kingdom
536404,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2010-12-01 11:29:00,2010-12-01,11:29:00,0.55,16218.0,United Kingdom
536404,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 11:29:00,2010-12-01,11:29:00,0.55,16218.0,United Kingdom
536404,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 11:29:00,2010-12-01,11:29:00,0.55,16218.0,United Kingdom
536404,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 11:29:00,2010-12-01,11:29:00,0.55,16218.0,United Kingdom
536404,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-01 11:29:00,2010-12-01,11:29:00,1.65,16218.0,United Kingdom
536404,20728,LUNCH BAG CARS BLUE,10,2010-12-01 11:29:00,2010-12-01,11:29:00,1.65,16218.0,United Kingdom
536404,20727,LUNCH BAG  BLACK SKULL.,10,2010-12-01 11:29:00,2010-12-01,11:29:00,1.65,16218.0,United Kingdom
536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2010-12-01,11:32:00,2.55,14045.0,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 11:33:00,2010-12-01,11:33:00,2.55,17850.0,United Kingdom
536406,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-12-01 11:33:00,2010-12-01,11:33:00,4.95,17850.0,United Kingdom
536406,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 11:33:00,2010-12-01,11:33:00,6.95,17850.0,United Kingdom
536406,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 11:33:00,2010-12-01,11:33:00,2.1,17850.0,United Kingdom
536406,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 11:33:00,2010-12-01,11:33:00,2.55,17850.0,United Kingdom
536407,22633,HAND WARMER UNION JACK,6,2010-12-01 11:34:00,2010-12-01,11:34:00,1.85,17850.0,United Kingdom
536408,21915,RED  HARMONICA IN BOX ,12,2010-12-01 11:41:00,2010-12-01,11:41:00,1.25,14307.0,United Kingdom
536408,21914,BLUE HARMONICA IN BOX ,12,2010-12-01 11:41:00,2010-12-01,11:41:00,1.25,14307.0,United Kingdom
536408,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 11:41:00,2010-12-01,11:41:00,3.95,14307.0,United Kingdom
536408,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2010-12-01 11:41:00,2010-12-01,11:41:00,2.1,14307.0,United Kingdom
536408,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-12-01 11:41:00,2010-12-01,11:41:00,1.25,14307.0,United Kingdom
536408,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 11:41:00,2010-12-01,11:41:00,2.95,14307.0,United Kingdom
536408,20685,DOORMAT RED RETROSPOT,2,2010-12-01 11:41:00,2010-12-01,11:41:00,7.95,14307.0,United Kingdom
536408,48194,DOORMAT HEARTS,2,2010-12-01 11:41:00,2010-12-01,11:41:00,7.95,14307.0,United Kingdom
536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 11:41:00,2010-12-01,11:41:00,1.69,14307.0,United Kingdom
536408,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 11:41:00,2010-12-01,11:41:00,5.95,14307.0,United Kingdom
536408,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 11:41:00,2010-12-01,11:41:00,5.95,14307.0,United Kingdom
536408,22766,PHOTO FRAME CORNICE,8,2010-12-01 11:41:00,2010-12-01,11:41:00,2.95,14307.0,United Kingdom
536408,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 11:41:00,2010-12-01,11:41:00,0.55,14307.0,United Kingdom
536408,22553,PLASTERS IN TIN SKULLS,12,2010-12-01 11:41:00,2010-12-01,11:41:00,1.65,14307.0,United Kingdom
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-01 11:45:00,2010-12-01,11:45:00,4.95,17908.0,United Kingdom
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 11:45:00,2010-12-01,11:45:00,2.1,17908.0,United Kingdom
536409,22568,FELTCRAFT CUSHION OWL,1,2010-12-01 11:45:00,2010-12-01,11:45:00,3.75,17908.0,United Kingdom
536409,21931,JUMBO STORAGE BAG SUKI,2,2010-12-01 11:45:00,2010-12-01,11:45:00,1.95,17908.0,United Kingdom
536409,20713,JUMBO BAG OWLS,1,2010-12-01 11:45:00,2010-12-01,11:45:00,1.95,17908.0,United Kingdom
536409,22633,HAND WARMER UNION JACK,1,2010-12-01 11:45:00,2010-12-01,11:45:00,2.1,17908.0,United Kingdom
536409,22197,SMALL POPCORN HOLDER,2,2010-12-01 11:45:00,2010-12-01,11:45:00,0.85,17908.0,United Kingdom
536409,85099B,JUMBO BAG RED RETROSPOT,2,2010-12-01 11:45:00,2010-12-01,11:45:00,1.95,17908.0,United Kingdom
536409,85099F,JUMBO BAG STRAWBERRY,1,2010-12-01 11:45:00,2010-12-01,11:45:00,1.95,17908.0,United Kingdom
536409,20723,STRAWBERRY CHARLOTTE BAG,1,2010-12-01 11:45:00,2010-12-01,11:45:00,0.85,17908.0,United Kingdom
536409,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-01 11:45:00,2010-12-01,11:45:00,4.95,17908.0,United Kingdom
536412,20728,LUNCH BAG CARS BLUE,3,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22382,LUNCH BAG SPACEBOY DESIGN ,3,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2010-12-01 11:49:00,2010-12-01,11:49:00,2.95,17920.0,United Kingdom
536412,22662,LUNCH BAG DOLLY GIRL DESIGN,4,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22383,LUNCH BAG SUKI  DESIGN ,3,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,20727,LUNCH BAG  BLACK SKULL.,3,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2010-12-01 11:49:00,2010-12-01,11:49:00,2.95,17920.0,United Kingdom
536412,22630,DOLLY GIRL LUNCH BOX,1,2010-12-01 11:49:00,2010-12-01,11:49:00,1.95,17920.0,United Kingdom
536412,22629,SPACEBOY LUNCH BOX ,1,2010-12-01 11:49:00,2010-12-01,11:49:00,1.95,17920.0,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,1,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22961,JAM MAKING SET PRINTED,24,2010-12-01 11:49:00,2010-12-01,11:49:00,1.45,17920.0,United Kingdom
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2010-12-01 11:49:00,2010-12-01,11:49:00,3.75,17920.0,United Kingdom
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-01 11:49:00,2010-12-01,11:49:00,3.75,17920.0,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,2,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-12-01 11:49:00,2010-12-01,11:49:00,2.1,17920.0,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,7,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2010-12-01 11:49:00,2010-12-01,11:49:00,1.65,17920.0,United Kingdom
536412,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-01 11:49:00,2010-12-01,11:49:00,0.95,17920.0,United Kingdom
536412,22568,FELTCRAFT CUSHION OWL,3,2010-12-01 11:49:00,2010-12-01,11:49:00,3.75,17920.0,United Kingdom
